all tutti
back dietro
big grande
black nero
child bambino
come viene
count conto
day giorno
earth terra
father padre
few alcuni 
fire fuoco
five cinque
four quattro
give da
hand mano
he lui
head testa
here qui
how come
husband marito
lake lago
long lungo
man uomo 
many molto
mother madre
mountain monte
near vicino
new nuovo
night notte
not non
old vecchio
other altro
person persona
red rosso
right destra
river fiume
river fiume
road strada
salt sale
say dice
small piccolo
some alcuni
star stella
sun sole
that quello
they loro
this questo
three tre
tongue lingua
two due
what cosa
when quando
where dove
white bianco
who chi
wife moglie
woman donna
year anno
